ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,c:\Users\Michael\Desktop\bluesky\ShapeGeneration2.py:183(varTurnRate)
7,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\function_base.py:24(linspace)
7,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\multiarray.py:669(result_type)
7,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\fromnumeric.py:3176(ndim)
7,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\numeric.py:1855(isscalar)
7,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\fromnumeric.py:3172(_ndim_dispatcher)
7,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\function_base.py:19(_linspace_dispatcher)
7,0.000,0.000,0.000,0.000,{built-in method _operator.index}
2,0.000,0.000,0.000,0.000,{built-in method time.time}
120,0.000,0.000,0.000,0.000,{method 'append' of 'list' objects}
7,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
7,0.000,0.000,0.000,0.000,{method 'astype' of 'numpy.ndarray' objects}
7,0.000,0.000,0.000,0.000,{method 'reshape' of 'numpy.ndarray' objects}
14,0.000,0.000,0.000,0.000,{built-in method numpy.asanyarray}
7,0.000,0.000,0.000,0.000,{built-in method numpy.arange}
4,0.000,0.000,0.000,0.000,{built-in method numpy.zeros}


