ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
900,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:24(_xyz_to_coords)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\base.py:363(bounds)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\measurement.py:75(bounds)
900,0.002,0.000,0.002,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:34(points)
900,0.002,0.000,0.008,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\point.py:52(__new__)
1,0.001,0.001,0.009,0.009,c:\Users\Michael\Desktop\bluesky\ShapeGeneration2.py:292(makeGrid)
31,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\function_base.py:24(linspace)
900,0.001,0.000,0.002,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\numerictypes.py:357(issubdtype)
31,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\multiarray.py:669(result_type)
1800,0.001,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\numerictypes.py:283(issubclass_)
31,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\fromnumeric.py:3176(ndim)
31,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\numeric.py:1855(isscalar)
31,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\fromnumeric.py:3172(_ndim_dispatcher)
31,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\function_base.py:19(_linspace_dispatcher)
901,0.001,0.000,0.004,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\decorators.py:62(wrapped)
31,0.000,0.000,0.000,0.000,{built-in method _operator.index}
2,0.000,0.000,0.000,0.000,{built-in method time.time}
901,0.000,0.000,0.000,0.000,{method 'items' of 'dict' objects}
1832,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
2700,0.000,0.000,0.000,0.000,{built-in method builtins.issubclass}
2700,0.000,0.000,0.000,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
31,0.000,0.000,0.000,0.000,{method 'astype' of 'numpy.ndarray' objects}
31,0.000,0.000,0.000,0.000,{method 'reshape' of 'numpy.ndarray' objects}
900,0.000,0.000,0.000,0.000,{method 'squeeze' of 'numpy.ndarray' objects}
1,0.000,0.000,0.000,0.000,{method 'tolist' of 'numpy.ndarray' objects}
900,0.001,0.000,0.001,0.000,{built-in method numpy.array}
1,0.000,0.000,0.000,0.000,{built-in method numpy.asarray}
62,0.000,0.000,0.000,0.000,{built-in method numpy.asanyarray}
31,0.000,0.000,0.000,0.000,{built-in method numpy.arange}
1,0.000,0.000,0.000,0.000,{built-in method numpy.empty}


