ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
869,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:24(_xyz_to_coords)
3476,0.002,0.000,0.011,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\coordinates.py:93(get_coordinates)
3476,0.002,0.000,0.043,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\polygon.py:87(_coords)
3476,0.003,0.000,0.035,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\base.py:220(coords)
1769,0.001,0.000,0.002,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\base.py:69(_maybe_unpack)
3476,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\coords.py:20(__init__)
3476,0.013,0.000,0.013,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\predicates.py:41(has_z)
900,0.006,0.000,0.006,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\predicates.py:472(contains)
3476,0.001,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\coords.py:23(__len__)
3476,0.002,0.000,0.021,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\base.py:620(has_z)
869,0.003,0.000,0.003,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:124(linearrings)
869,0.001,0.000,0.066,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\polygon.py:221(__new__)
869,0.007,0.000,0.007,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\predicates.py:747(intersects)
900,0.000,0.000,0.009,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\base.py:673(contains)
869,0.001,0.000,0.010,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\base.py:717(intersects)
900,0.000,0.000,0.009,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\prepared.py:30(contains)
