ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
151,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:24(_xyz_to_coords)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\prepared.py:22(__init__)
152,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\polygon.py:87(_coords)
152,0.001,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\_geometry.py:241(get_x)
152,0.001,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\_geometry.py:267(get_y)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:465(prepare)
150,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:34(points)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:124(linearrings)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\polygon.py:221(__new__)
152,0.000,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\point.py:85(x)
152,0.000,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\point.py:90(y)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\prepared.py:75(prep)
150,0.000,0.000,0.001,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\point.py:52(__new__)
1,0.000,0.000,0.004,0.004,c:\Users\Michael\Desktop\bluesky\ShapeGeneration2.py:270(toPolygon)
152,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\numerictypes.py:357(issubdtype)
304,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numpy\core\numerictypes.py:283(issubclass_)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\geometry\polygon.py:62(__new__)
456,0.001,0.000,0.002,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\decorators.py:62(wrapped)
1,0.000,0.000,0.000,0.000,C:\Users\Michael\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\shapely\creation.py:176(polygons)
2,0.000,0.000,0.000,0.000,{built-in method time.time}
456,0.000,0.000,0.000,0.000,{method 'items' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'append' of 'list' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.hasattr}
767,0.000,0.000,0.000,0.000,{built-in method builtins.isinstance}
456,0.000,0.000,0.000,0.000,{built-in method builtins.issubclass}
451,0.000,0.000,0.000,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
150,0.000,0.000,0.000,0.000,{method 'squeeze' of 'numpy.ndarray' objects}
151,0.000,0.000,0.000,0.000,{built-in method numpy.array}
1,0.000,0.000,0.000,0.000,{built-in method numpy.asarray}
1,0.000,0.000,0.000,0.000,{built-in method numpy.empty}


